key,type,description,priority,estimatedDuration,key:technician,draftMode

#base entity
task-01,MAINTENANCE,Lorem ipsum dolor sit amete consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,500,technician-01,true

#type - variations
task-02,MAINTENANCE,Annual review task 2,5,120,technician-01,true
task-03,INSPECTION,Annual review task 3,5,120,technician-02,true
task-04,REPAIR,Annual review task 4,5,120,technician-02,true
task-05,SYSTEM_CHECK,Annual review task 5,5,120,technician-01,false

#description - variations
task-06,MAINTENANCE,L,5,120,technician-01,true
task-07,MAINTENANCE,Lo,5,120,technician-02,false
task-08,MAINTENANCE,Lorem ipsum dolor sit amete consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,5,120,technician-02,true
task-09,MAINTENANCE,Lorem ipsum dolor sit amete consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,5,120,technician-01,true
task-10,MAINTENANCE,โลเร็ม อิปซัม,5,120,technician-01,true
task-11,MAINTENANCE,لوريم إيبسوم,5,120,technician-01,false
task-12,MAINTENANCE,洛伦·伊普森,5,120,technician-01,false
task-13,MAINTENANCE,<marquee>Hacked</marquee>,5,120,technician-01,true
task-14,MAINTENANCE,<script>alert(‘Hacked!’);</script>,5,120,technician-02,true
task-15,MAINTENANCE,' or 'A' = 'A ,5,120,technician-01,true

#priority - variations
task-16,MAINTENANCE,Annual review task 16,0,120,technician-01,true
task-17,MAINTENANCE,Annual review task 17,1,120,technician-01,true
task-18,MAINTENANCE,Annual review task 18,9,120,technician-02,false
task-19,MAINTENANCE,Annual review task 19,10,120,technician-01,true

#estimatedDuration - variations
task-20,MAINTENANCE,Annual review task 20,5,0,technician-01,true
task-21,MAINTENANCE,Annual review task 21,5,1,technician-01,true
task-22,MAINTENANCE,Annual review task 22,5,999,technician-02,true
task-23,MAINTENANCE,Annual review task 23,5,1000,technician-01,true
